delta,sigma,J,m,lambda_min_dQ,lambda_min_Q,lambda_min_base,tr_Mzeros
0.0001,2.0,4,20,-3.1259738978529085e-09,0.01804160126602464,0.018041604375283488,2.601903487061628
0.001,2.0,4,20,-3.1259739325216287e-07,0.018041293449388825,0.018041604375283488,2.6019034498305693
0.01,2.0,4,20,-3.125980455449365e-05,0.0180105116876599,0.018041604375283488,2.601899726396801
0.1,2.0,4,20,-0.0031266253678249286,0.01493136704503565,0.018041604375283488,2.601524096388816
1e-05,2.0,8,1,0.0,-2.8625413716714877e-15,-2.8625413716714877e-15,2.5683838538854213
0.0001,2.0,8,1,0.0,-2.8625413716714877e-15,-2.8625413716714877e-15,2.5683838538854213
0.001,2.0,8,1,0.0,-2.8625413716714877e-15,-2.8625413716714877e-15,2.5683838538854213
0.01,2.0,8,1,0.0,-2.8625413716714877e-15,-2.8625413716714877e-15,2.5683838538854213
0.1,2.0,8,1,0.0,-2.8625413716714877e-15,-2.8625413716714877e-15,2.5683838538854213
1e-05,2.0,8,5,0.0,-2.595918560514874e-15,-2.595918560514874e-15,2.5683838540595274
0.0001,2.0,8,5,-6.761658572482189e-17,-2.590846059421948e-15,-2.595918560514874e-15,2.5683838540595274
0.001,2.0,8,5,-5.1154049475666285e-15,-2.5792801521927067e-15,-2.595918560514874e-15,2.5683838540595225
0.01,2.0,8,5,-5.105270292898701e-13,-2.629434129657786e-15,-2.595918560514874e-15,2.568383854059017
0.1,2.0,8,5,-4.992523470194743e-11,-5.908784677441732e-15,-2.595918560514874e-15,2.568383854009605
1e-05,2.0,8,20,-2.51421857217314e-10,-1.6375913970144198e-11,3.287809270981061e-14,5.1367677077309395
0.0001,2.0,8,20,-2.514217665343585e-08,-1.6409212028821679e-09,3.287809270981061e-14,5.13676770378045
0.001,2.0,8,20,-2.5142195493842362e-06,-1.6537041279343566e-07,3.287809270981061e-14,5.136767308731082
0.01,2.0,8,20,-0.00025144087137093896,-0.00016512463635021268,3.287809270981061e-14,5.136727799748099
0.1,2.0,8,20,-0.025333952955969827,-0.01722075720968187,3.287809270981061e-14,5.132736284463615
1e-05,2.0,12,1,0.0,-5.782588196339788e-15,-5.782588196339788e-15,3.8393481528470668
0.0001,2.0,12,1,0.0,-5.782588196339788e-15,-5.782588196339788e-15,3.8393481528470668
0.001,2.0,12,1,0.0,-5.782588196339788e-15,-5.782588196339788e-15,3.8393481528470668
0.01,2.0,12,1,0.0,-5.782588196339788e-15,-5.782588196339788e-15,3.8393481528470668
0.1,2.0,12,1,0.0,-5.782588196339788e-15,-5.782588196339788e-15,3.8393481528470668
1e-05,2.0,12,5,-1.205397015501205e-15,-5.5482029704813006e-15,-5.553083193484392e-15,3.8393487008564025
0.0001,2.0,12,5,-1.1835634131241642e-13,-5.546560750346235e-15,-5.553083193484392e-15,3.8393487008562857
0.001,2.0,12,5,-1.1837522548831179e-11,-5.582791567746455e-15,-5.553083193484392e-15,3.83934870084457
0.01,2.0,12,5,-1.1835706727509425e-09,-2.349435663552327e-13,-5.553083193484392e-15,3.839348699673113
0.1,2.0,12,5,-1.1653171128431649e-07,-3.41371565134419e-11,-5.553083193484392e-15,3.8393485843525834
1e-05,2.0,12,20,-4.751102385324332e-10,-3.2545853102404655e-10,-1.3060495775456033e-15,7.678696305672976
0.0001,2.0,12,20,-4.751102760449853e-08,-3.432691956295347e-08,-1.3060495775456033e-15,7.678696303578319
0.001,2.0,12,20,-4.751108049252152e-06,-4.008523560368105e-06,-1.3060495775456033e-15,7.678696094112128
0.01,2.0,12,20,-0.00047516361294375697,-0.00040346652256267694,-1.3060495775456033e-15,7.678675144056744
