function,peak_idx,pc1_instantaneous,H_instantaneous
F4,64,0.8825838246969587,0.3617450923238947
F4,65,0.9331588659316918,0.24539021186949167
F4,66,0.9843951289815918,0.08040142680836725
F4,67,0.9931845464589459,0.04079149247788127
F4,68,0.8806109068651047,0.3657060323308094
F4,69,0.8774011869444117,0.3720711636313846
F4,70,0.9797392113391924,0.0990523282551835
F4,71,0.9688211764665072,0.13881629564576375
F4,72,0.9936773982808899,0.038317852727013345
F4,73,0.9769995151758591,0.10949727056677497
F4,74,0.9884636118470045,0.062947823745966
F4,75,0.9007404751951189,0.32345293025478083
F4,76,0.9793248634018201,0.10065512185264362
F4,77,0.945306535441161,0.21210955044397783
F4,78,0.8745734641205436,0.37759933086958775
F4,79,0.9907003027288953,0.052758197222927385
F4,80,0.9902379223956732,0.05490537077352474
F4,81,0.9228255318352131,0.27181361223759976
F4,82,0.954664960720659,0.18454339521848506
F4,83,0.943769309084748,0.21646763056653653
F4,84,0.9743861137339908,0.1191481898356317
F4,85,0.9898978811711567,0.056470257698464255
F4,86,0.9356516475406736,0.23876820093242707
F4,87,0.9946138218527062,0.033508606063962935
F4,88,0.9691064028257412,0.1378348100210375
F4,89,0.9131219668358971,0.2952545969720538
F4,90,0.9878152033844981,0.06581555735235015
F4,91,0.9105937031770736,0.30116205449763744
F4,92,0.9446455159216189,0.21398909107427946
F4,93,0.9948246446064266,0.03240422042357655
F4,94,0.9741051796799096,0.12016884144671527
F4,95,0.9290357117311608,0.25612614950886187
F4,96,0.9440762332239822,0.2156010868042963
F4,97,0.9371412507079916,0.2347620735054277
F4,98,0.9018738316408819,0.3209461281948058
F4,99,0.9876001799171616,0.06675874184005712
F4,100,0.9796719140250753,0.09931323359678643
F4,101,0.9793462229374332,0.10057270695582525
F4,102,0.8881849173728922,0.35029345922586547
F4,103,0.9209300586144481,0.2764919485337968
F4,104,0.9941237928298555,0.036044066507328575
F4,105,0.9904716593148434,0.05382278869012276
F4,106,0.9927332424008133,0.04302503926634476
F4,107,0.9803231451013094,0.09677881260067357
F4,108,0.9812294929433425,0.09321478631344267
F4,109,0.9672071346881498,0.14432027377242113
F4,110,0.9904281401636509,0.05402478755204984
F4,111,0.9958853293769074,0.02670888795998605
F4,112,0.8504190575740211,0.42198150090319686
F4,113,0.9749530325254588,0.11707887215333508
F4,114,0.9379704241527395,0.23251583362905048
F4,115,0.990858080985275,0.05202026181579402
F4,116,0.9611839431620791,0.16416308587669198
F4,117,0.9019552420841315,0.3207655044217854
F4,118,0.9863086989242608,0.07234644358001516
F4,119,0.9807619056226176,0.09505891703258647
F4,120,0.9718360607149628,0.12830073538662665
F4,121,0.9822358838656129,0.08920499045574931
F4,122,0.9814571544200921,0.09231262659905182
F4,123,0.9455795715478063,0.2113307396182391
F4,124,0.9273504180849692,0.2604392903759735
F4,125,0.9063931601882425,0.3108042489806209
F4,126,0.9171457337322811,0.2856857255634042
F4,127,0.9499638529810052,0.19862166228696787
F4,128,0.9762437579602784,0.11231800731116301
F4,129,0.9612749802383913,0.16387080654119526
F4,130,0.9121171068706538,0.2976120515192541
F4,131,0.9863016581859806,0.07237655645197916
F4,132,0.9636454132420934,0.15618051302548316
F4,133,0.9939025927157316,0.03717489659413504
F4,134,0.9902185091369338,0.05499502967683792
F4,135,0.9652653796357324,0.15083322802888288
F4,136,0.9746182094799782,0.11830258693104662
F4,137,0.887710058189521,0.35127639196091204
F4,138,0.9672925974755724,0.14403093522499344
F4,139,0.955343449161932,0.18247050708148013
F4,140,0.9776567738410645,0.10702352433572465
F4,141,0.986264607209182,0.0725349611416521
F4,142,0.9521210476469005,0.19222194349730926
F4,143,0.9618195311831416,0.16211783062114868
F4,144,0.9776986504362561,0.10686524778311077
F4,145,0.9825751001420141,0.08784051577135986
F4,146,0.9726359909453994,0.12545626837973406
F4,147,0.9315846252415361,0.24952059156651007
F4,148,0.9468567643698654,0.20766831145658463
F4,149,0.9700666687095861,0.13451034474113313
F4,150,0.9784030843120333,0.10419059903265976
F4,151,0.9730931301609221,0.12381997691685477
F4,152,0.9596828437925207,0.16895078079806594
F4,153,0.9347467975971078,0.24118365267174385
F4,154,0.9686436197335623,0.13942592022431322
F4,155,0.9661520315904846,0.14787358508904921
F4,156,0.9462738113407311,0.20934394249987054
F4,157,0.9322061435030095,0.24789458852819052
F4,158,0.9883207085947479,0.06358294369533081
F4,159,0.9701199742091922,0.1343248783519157
F4,160,0.8541952721285836,0.4153624057903968
F4,161,0.9464246712672203,0.20891095695141157
F4,162,0.90658801772075,0.3103616264432612
F4,163,0.9254532182131847,0.2652443574444728
F4,164,0.9875308968034173,0.06706183969202079
F4,165,0.9967420906355264,0.021909567084961477
F4,166,0.9819741908337162,0.09025312022483646
F4,167,0.9931542290639213,0.040942457574807016
F4,168,0.9524350077864483,0.19128211420842578
F4,169,0.9842879610250101,0.08084520544354251
F4,170,0.9715222562710852,0.12941016990865967
F4,171,0.9396077095748288,0.22804556194405382
F4,172,0.8221261259555902,0.46815418065389214
F4,173,0.9534658998097606,0.18818079756546174
F4,174,0.8782407663422341,0.3704155489681026
F4,175,0.9611222217423825,0.16436111936440498
F4,176,0.9917806434824342,0.04764877993127657
F4,177,0.849643782888135,0.42332648509785603
F4,178,0.97355829154258,0.12214677687270395
F4,179,0.9577168293739304,0.17513351440843217
F4,180,0.9024133232369435,0.31974776975117164
F4,181,0.976747918226541,0.11043909671007074
F4,182,0.9797976916917983,0.09882542019312097
F4,183,0.9884847075989243,0.06285391450542575
F4,184,0.9984481248367949,0.011588650993028313
F4,185,0.9476581646634477,0.20535374057487582
F4,186,0.9469015361620959,0.20753934174235736
F4,187,0.9681061782388273,0.1412648731370582
F4,188,0.960832408870438,0.16528962473065034
F4,189,0.9789414059290928,0.10213086529037324
F4,190,0.9764908024014525,0.11139870277150506
F4,191,0.9689196060512326,0.1384778975044592
F4,192,0.8690391047138744,0.3882092552499906
