Function,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp
"L(s,χ₄) mod5",10,5081.0,14.879558802200224,2.058645991619848,0.013306984017060538
"L(s,χ₄) mod5",11,5516.0,14.352833761946808,1.871878985774613,0.01363667007492964
"L(s,χ₄) mod5",12,3857.0,14.34088092470894,1.9095437794013388,0.007705957400382188
"L(s,χ₄) mod5",13,4790.0,14.146137159622647,1.9353732533877035,0.01323258809093052
"L(s,χ₄) mod5",14,6105.0,13.939697245789638,1.9468962936131697,0.013380502777891436
"L(s,χ₄) mod5",15,3766.0,13.933829689359149,1.9800627225873213,0.018867648438752858
"L(s,χ₄) mod5",16,1564.0,13.922064676511477,1.914414090247818,0.01379184883929676
"L(s,χ₄) mod5",17,8181.0,13.591952410611018,1.5628262934357036,0.013573719260982248
"L(s,χ₄) mod5",18,7483.0,13.495595294936344,1.555065696621584,0.02049182939582834
"L(s,χ₄) mod5",19,9640.0,13.43629268999962,1.813271499286636,0.008719612228784108
"L(s,χ₄) mod5",20,5888.0,13.39827248917341,1.4323321888370542,0.009446468555956364
"L(s,χ₄) mod5",21,6042.0,13.24687361439614,1.8026025347654682,0.014966964697249733
"L(s,χ₄) mod5",22,7266.0,13.136213400244975,1.9648961933907358,0.016552134118568457
"L(s,χ₄) mod5",23,8707.0,13.129320709195891,1.9550392590536712,0.011946540970627377
"L(s,χ₄) mod5",24,9577.0,13.093038251216468,1.5654155417678732,0.0031685757440260785
"L(s,χ₄) mod5",25,9994.0,13.091535089941667,1.7489804848328063,0.009827232014490542
"L(s,χ₄) mod5",26,2416.0,12.905438149974813,1.9121254595894408,0.015240759270437713
"L(s,χ₄) mod5",27,6740.0,12.89413086506615,1.6868567456322887,0.011082562071629495
"L(s,χ₄) mod5",28,9714.0,12.852744003327157,1.8917567376947388,0.024825158624494238
"L(s,χ₄) mod5",29,2914.0,12.841443008250888,1.7063414915254185,0.004628710181117847
"L(s,χ₄) mod5",30,9205.0,12.573131217349124,1.4832333780794187,0.012921010941134988
"L(s,χ₄) mod5",31,8290.0,12.520084756463993,1.305722696602045,0.01259254613875621
"L(s,χ₄) mod5",32,3440.0,12.348010737135745,1.3858892030895653,0.011827564694105548
"L(s,χ₄) mod5",33,3612.0,12.32744093071708,1.946785832202204,0.010131791338759391
"L(s,χ₄) mod5",34,6803.0,12.324135993062068,1.7669140780489145,0.004571687830542033
"L(s,χ₄) mod5",35,7238.0,12.288289462059241,1.2797954149326844,0.01709433375814302
"L(s,χ₄) mod5",36,4229.0,12.26152979651677,1.942182212450083,0.010758435028795687
"L(s,χ₄) mod5",37,2588.0,12.242309320166425,1.403520706811499,0.004538940406363725
"L(s,χ₄) mod5",38,7193.0,12.216609051663031,1.6456967392631894,0.02607255355922646
"L(s,χ₄) mod5",39,4709.0,12.18799701886986,1.5263060235911603,0.0196609886625336
"L(s,χ₄) mod5",40,5579.0,12.179577607070252,1.6947637499284471,0.011170918911379947
"L(s,χ₄) mod5",41,2062.0,12.134447733482082,1.5545738736202994,0.008891809155974338
