function_class,peak_t,N,D_magnitude,R_comp
L_DH,4593.767316019466,2000000,9.38662213675117,0.00018427406552965256
L_DH,4593.767316019466,5000000,9.386504040024585,0.0001536010921348439
L_DH,4593.767316019466,10000000,9.38620196355115,5.0899162432220806e-05
L_DH,3867.919095775595,10000,9.222258735150756,0.023916109879573683
L_DH,3867.919095775595,20000,9.234374863576873,0.0044524400423722275
L_DH,3867.919095775595,50000,9.231558473688015,0.003817790658025711
L_DH,3867.919095775595,100000,9.232387954865168,0.0020167595407869334
L_DH,3867.919095775595,200000,9.228903155296214,0.0019013393296496335
L_DH,3867.919095775595,500000,9.229789179509023,0.0006601741388109127
L_DH,3867.919095775595,1000000,9.229842834256385,0.0004382853361952882
L_DH,3867.919095775595,2000000,9.230889424058839,0.0004102694699340974
L_DH,3867.919095775595,5000000,9.230611671717948,0.00027798254252185646
L_DH,3867.919095775595,10000000,9.230495118096544,5.111950886104071e-05
L_DH,1851.3708447973222,10000,8.59291748282068,0.008734447048521466
L_DH,1851.3708447973222,20000,8.588398439394739,0.010935059548295505
L_DH,1851.3708447973222,50000,8.590495003219893,0.006242826767219738
L_DH,1851.3708447973222,100000,8.593924244630365,0.002776578403153701
L_DH,1851.3708447973222,200000,8.595850532925436,0.0011980703164488154
L_DH,1851.3708447973222,500000,8.595186342406166,0.0008361461554969952
L_DH,1851.3708447973222,1000000,8.594283984099473,0.0001854994545372719
L_DH,1851.3708447973222,2000000,8.593541252568695,0.00020159158243733018
L_DH,1851.3708447973222,5000000,8.593746310854511,0.0001539186042064425
L_DH,1851.3708447973222,10000000,8.593962863802377,0.00020750606379458863
L_DH,3324.8973069465337,10000,8.498356479756701,0.006812124711817326
L_DH,3324.8973069465337,20000,8.506641341349628,0.005359396344455039
L_DH,3324.8973069465337,50000,8.506169576221032,0.004821681222338848
L_DH,3324.8973069465337,100000,8.50333913885052,0.000594986874842969
L_DH,3324.8973069465337,200000,8.501093040357508,0.0014026847880574686
L_DH,3324.8973069465337,500000,8.501468150540187,0.0011764720551239436
L_DH,3324.8973069465337,1000000,8.502499370755585,0.0006168751053711983
L_DH,3324.8973069465337,2000000,8.503104527437575,5.253043144349648e-05
L_DH,3324.8973069465337,5000000,8.502912137624582,0.0001996123734445504
L_DH,3324.8973069465337,10000000,8.502555237680804,0.0002624228057222606
L_DH,4765.6787366035405,10000,8.458786159369733,0.019303047882535323
L_DH,4765.6787366035405,20000,8.47034807727993,0.0046474826838703775
L_DH,4765.6787366035405,50000,8.46906418316264,0.002195729254667305
L_DH,4765.6787366035405,100000,8.46832191082581,0.0025494302380109244
L_DH,4765.6787366035405,200000,8.465206266936836,0.0022679587589616483
L_DH,4765.6787366035405,500000,8.465672316944774,0.0013730140578796272
L_DH,4765.6787366035405,1000000,8.46618141391057,0.00041141995307893684
L_DH,4765.6787366035405,2000000,8.467099179106944,0.0001920457257555372
L_DH,4765.6787366035405,5000000,8.466924843949204,3.7341573820658816e-05
L_DH,4765.6787366035405,10000000,8.466682290729398,1.6097847722055708e-05
L_DH,4408.212131896973,10000,8.227182165100677,0.018445035735637088
