function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,abs_lambda_min,lambda_over_tr,reliable,rho_RvM,tr_over_J,H1_rel_err,source,tr_Mz,tr_Ma,n_zeros_used
zeta,46.13,1.0,24,1000000000,-8.12405532397907e-13,,,-3.3573144264664734e-13,,8.12405532397907e-13,,,,,,r14_sigma1_X1e9,7.68655460000431,7.686554600004646,
Lchi,46.13,1.0,24,1000000000,-7.426159532275226e-05,,,-0.0013697137224077,,7.426159532275226e-05,,,,,,r14_sigma1_X1e9,27.238677424433146,27.24004713815555,
zeta,46.13,1.0,28,1000000000,-6.879268778860296e-12,,,-5.3219650908431496e-12,,6.879268778860296e-12,,,,,,r14_sigma1_X1e9,9.438246450702412,9.438246450707734,
Lchi,46.13,1.0,28,1000000000,-7.64417747569688e-05,,,-0.0016026170258847,,7.64417747569688e-05,,,,,,r14_sigma1_X1e9,31.692645713924065,31.69424833094995,
zeta,60.0,1.0,4,1000000000,-4.380661211171585e-15,,,6.661338147750939e-16,,4.380661211171585e-15,,,,,,r14_sigma1_X1e9,1.7965320213608733,1.7965320213608726,
Lchi,60.0,1.0,4,1000000000,-3.507891143654579e-05,,,-0.0001328644905367,,3.507891143654579e-05,,,,,,r14_sigma1_X1e9,5.0221517908899,5.022284655380437,
zeta,60.0,1.0,8,1000000000,-2.3651508934841804e-14,,,-1.3322676295501878e-14,,2.3651508934841804e-14,,,,,,r14_sigma1_X1e9,2.9371741128958107,2.937174112895824,
Lchi,60.0,1.0,8,1000000000,-3.667076145219025e-05,,,-0.0002661737011049,,3.667076145219025e-05,,,,,,r14_sigma1_X1e9,9.796939061978138,9.797205235679243,
zeta,60.0,1.0,12,1000000000,-5.94486787394548e-14,,,-3.108624468950438e-14,,5.94486787394548e-14,,,,,,r14_sigma1_X1e9,4.121273681457202,4.121273681457233,
Lchi,60.0,1.0,12,1000000000,-3.7935665671304525e-05,,,-0.0003999301185384,,3.7935665671304525e-05,,,,,,r14_sigma1_X1e9,14.876026908214268,14.876426838332806,
zeta,60.0,1.0,16,1000000000,-1.466097089839639e-13,,,1.5187850976872141e-13,,1.466097089839639e-13,,,,,,r14_sigma1_X1e9,5.7089659582627545,5.708965958262603,
