Function,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp,CAS,Class
"L(s,χ₄) mod5",18,7483.0,13.495595294936344,1.555065696621584,0.0204918293958283,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",19,9640.0,13.43629268999962,1.813271499286636,0.0087196122287841,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",20,5888.0,13.39827248917341,1.4323321888370542,0.0094464685559563,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",21,6042.0,13.24687361439614,1.802602534765468,0.0149669646972497,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",22,7266.0,13.136213400244976,1.964896193390736,0.0165521341185684,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",23,8707.0,13.129320709195891,1.9550392590536712,0.0119465409706273,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",24,9577.0,13.093038251216468,1.5654155417678732,0.003168575744026,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",25,9994.0,13.091535089941669,1.7489804848328063,0.0098272320144905,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",26,2416.0,12.905438149974811,1.9121254595894408,0.0152407592704377,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",27,6740.0,12.89413086506615,1.6868567456322887,0.0110825620716294,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",28,9714.0,12.852744003327157,1.8917567376947388,0.0248251586244942,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",29,2914.0,12.841443008250888,1.7063414915254185,0.0046287101811178,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",30,9205.0,12.573131217349124,1.483233378079419,0.0129210109411349,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",31,8290.0,12.520084756463993,1.305722696602045,0.0125925461387562,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",32,3440.0,12.348010737135745,1.385889203089565,0.0118275646941055,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",33,3612.0,12.32744093071708,1.946785832202204,0.0101317913387593,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",34,6803.0,12.324135993062068,1.7669140780489143,0.004571687830542,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",35,7238.0,12.28828946205924,1.2797954149326844,0.017094333758143,4.3979356657055035,Multiplicative
