n,a_zeta_W1,a_delta_W1,a_zeta_W2,a_delta_W2
303,2752.22212262042,2752.22212262042,2746.539024601899,2744.2119770281165
304,2753.8140107218805,2753.8140107218805,2743.0250346462085,2739.928641206189
305,2754.321413938799,2754.321413938799,2738.913422939419,2734.963990772338
306,2753.868281654288,2753.868281654288,2734.3026166733757,2729.512241740231
307,2752.8903493401654,2752.8903493401654,2729.153370520333,2723.701071773634
308,2751.9453109600336,2751.9453109600336,2723.3869481666493,2717.709009231276
309,2751.497002781366,2751.497002781366,2717.1635530234826,2712.0172631501455
310,2751.735686342074,2751.735686342074,2711.2021561878264,2707.5916226706418
311,2752.5011003416685,2752.5011003416685,2706.8333111297966,2705.693019855368
312,2753.3551375821353,2753.3551375821353,2705.5021142224573,2707.227172187272
313,2753.782204335214,2753.782204335214,2707.879697792873,2712.0496044662736
314,2753.419103860346,2753.419103860346,2713.301760223265,2718.8803263587247
315,2752.204705060335,2752.204705060335,2720.1125372315228,2725.9699235714425
316,2750.4005356000007,2750.4005356000007,2726.614697240045,2731.9518147758686
317,2748.49853041846,2748.49853041846,2731.82786136555,2736.284394997244
318,2747.049436006696,2747.049436006696,2735.6503029644778,2739.1868721192163
319,2746.441268237812,2746.441268237812,2738.5769247515186,2741.3083001548725
320,2746.6858163342,2746.6858163342,2741.2754821310045,2743.3533368641747
321,2747.3186273802426,2747.3186273802426,2744.217029669254,2745.7766920698455
322,2747.497339571321,2747.497339571321,2747.472192395401,2748.621875260102
323,2746.264160342621,2746.264160342621,2750.7363973084043,2751.5637559469633
324,2742.837002850927,2742.837002850927,2753.5467360625903,2754.126326079211
325,2736.8369860701937,2736.8369860701937,2755.5400701306307,2755.9360225635764
326,2728.4874716745853,2728.4874716745853,2756.599183782623,2756.8645463536677
327,2718.8267247354047,2718.8267247354047,2756.847145684162,2757.0230454693447
328,2709.7599383440297,2709.7599383440297,2756.5548583894633,2756.6710940636754
329,2703.572816292998,2703.572816292998,2756.039609967885,2756.116533916865
330,2701.8475293582833,2701.8475293582833,2755.5866298471424,2755.6375195141436
331,2704.546258160512,2704.546258160512,2755.391201534876,2755.4244582670676
332,2710.209665195663,2710.209665195663,2755.520516651323,2755.5413690463974
333,2717.111250020777,2717.111250020777,2755.906878133016,2755.9185208736717
334,2724.237090161971,2724.237090161971,2756.377511859745,2756.3817572432363
335,2731.373857703175,2731.373857703175,2756.707437593521,2756.705028255592
336,2738.551421514519,2738.551421514519,2756.6790859650805,2756.6698286627006
337,2745.4781445479025,2745.4781445479025,2756.148522379733,2756.131366238533
338,2751.397824030988,2751.397824030988,2755.1210388344402,2755.0941473410826
339,2755.3983810361738,2755.3983810361738,2753.806081490745,2753.7668342704596
340,2756.8997094108513,2756.8997094108513,2752.5855156734947,2752.530241548261
341,2755.989278865038,2755.989278865038,2751.859722194205,2751.78289881212
342,2753.441280974902,2753.441280974902,2751.8408174807287,2751.7335772222677
343,2750.4610657474705,2750.4610657474705,2752.430809100811,2752.278820130859
344,2748.2777335925484,2748.2777335925484,2753.261176979136,2753.042166072172
345,2747.7021514210205,2747.7021514210205,2753.853992339296,2753.5353069636067
346,2748.80318297063,2748.80318297063,2753.822187380628,2753.358864430325
347,2750.8964517714016,2750.8964517714016,2753.0499811640416,2752.3834252086963
348,2752.9170232107167,2752.9170232107167,2751.7931910689967,2750.849043417446
349,2753.9784962921285,2753.9784962921285,2750.6152488876787,2749.296421009009
350,2753.782280713676,2753.782280713676,2750.1292803024585,2748.2986197588693
351,2752.6813339425407,2752.6813339425407,2750.668078198806,2748.117786322296
352,2751.4369752704165,2751.4369752704165,2752.0940852704575,2748.5059116457373
353,2750.819500701798,2750.819500701798,2753.8641561403874,2748.772234925659
354,2751.215984409955,2751.215984409955,2755.2915835573917,2748.065798678482
355,2752.424936117203,2752.424936117203,2755.873895516123,2745.7423512873997
356,2753.780557284933,2753.780557284933,2755.5611041882526,2741.6754138916626
357,2754.558519885528,2754.558519885528,2754.8297122238887,2736.3409376067034
358,2754.401081979592,2754.401081979592,2754.4558372656115,2730.5456673288313
359,2753.50270757672,2753.50270757672,2755.0513749116403,2724.9248973364474
360,2752.4938103412983,2752.4938103412983,2756.6288461886384,2719.6350805431275
361,2752.1155696369883,2752.1155696369883,2758.4526702671023,2714.607748600814
362,2752.823494372859,2752.823494372859,2759.231478745102,2710.233004897
363,2754.4992981704318,2754.4992981704318,2757.5605781354407,2707.7952947342437
364,2756.465126727468,2756.465126727468,2752.50373874457,2708.9453362028607
365,2757.823306899837,2757.823306899837,2744.133871198334,2714.367146440526
366,2757.872332411606,2757.872332411606,2733.708639489623,2722.94353530276
367,2756.3074274870787,2756.3074274870787,2723.218858491569,2732.3975750308905
368,2753.159258943128,2753.159258943128,2714.493319036061,2740.691252746873
369,2748.6351678657775,2748.6351678657775,2708.515918415066,2746.847796786754
370,2743.0003125069884,2743.0003125069884,2705.486154168015,2750.8768396374167
371,2736.5047094752967,2736.5047094752967,2705.4039810093846,2753.322834498183
372,2729.3367195147766,2729.3367195147766,2708.405817600807,2754.875822279926
373,2721.6912592548583,2721.6912592548583,2714.4354036071304,2756.1273346581943
374,2714.0817349854105,2714.0817349854105,2722.7189317224797,2757.419311223549
375,2707.775539310055,2707.775539310055,2731.776519465168,2758.775271475175
376,2704.798200798995,2704.798200798995,2740.0008052751646,2759.93408945809
377,2706.938719430623,2706.938719430623,2746.236510625055,2760.4865061853834
378,2714.1880971339247,2714.1880971339247,2750.0275921147986,2760.099815446009
379,2724.1931403584185,2724.1931403584185,2751.63695967374,2758.7856096053706
380,2733.5983255686565,2733.5983255686565,2751.944437688975,2757.061518761639
381,2740.066735235258,2740.066735235258,2752.129863570021,2755.7977580023235
382,2743.261566278887,2743.261566278887,2753.1364897600693,2755.739030354856
383,2744.4544623301576,2744.4544623301576,2755.2111903983337,2757.0297403893583
384,2745.465491531515,2745.465491531515,2757.8373777447914,2759.101477567825
385,2747.5967768872224,2747.5967768872224,2760.0576808107317,2760.9591668944736
386,2750.9809767012944,2750.9809767012944,2760.974010591073,2761.6681707864614
387,2754.667568565848,2754.667568565848,2760.2378780030886,2760.8468185575803
388,2757.3964468528466,2757.3964468528466,2758.3253453262146,2758.9471058085046
