case	lambda	strength	beta	N	S_N	radius	shellMass	ratio
plant-lam8-b0.20-s5.0	8	5.0	0.20	9	7.53278704658908638141469	0.132752989539616546033728	0.847349672789609948191709	1.95343582830114932847715
plant-lam8-b0.20-s5.0	8	5.0	0.20	10	0.486389646921025234251509	2.05596481407501944542564	0.895334594503601557109423	0.0645696797098846480894009
plant-lam8-b0.20-s5.0	8	5.0	0.20	11	11.3063501782501845278118	0.0884458719422719980866327	0.970892186664507837932911	23.2454581420932035983488
plant-lam8-b0.20-s5.0	8	5.0	0.20	12	37.8322554677214602797204	0.0264324711185459605733824	0.660642550407098758951199	3.34610682238541189152561
plant-lam8-b0.20-s5.0	8	5.0	0.20	13	122.385712540827069781036	0.00817088840877897874526587	0.0584751988005400546921481	3.23495681205807969161241
plant-lam8-b0.20-s5.0	8	5.0	0.20	14	343.708667162877230948842	0.00290944074309920834249507	0.0186654172825120828622161	2.80840516451802556057057
plant-lam8-b0.20-s5.0	8	5.0	0.20	15	3912.0761533263099490065	0.000255618745854354809149637	0.00659579732454090593610926	11.3819537505943917303718
plant-lam8-b0.20-s5.0	8	5.0	0.20	16	273.19494016580050956727	0.00366038990104686964257662	0.00235090027036156328194574	0.0698337479789374291419449
plant-lam8-b0.20-s5.0	8	5.0	0.20	17	74.0372790063653003454129	0.013506709233790530565673	0.00346355514298056852467825	0.271005308375888960905555
plant-lam8-b0.20-s5.0	8	5.0	0.20	18	299.950791122894785317277	0.00333388018833490427428498	0.00591204651005265552233491	4.05134812014237770311287
plant-lam8-b0.30-s5.0	8	5.0	0.30	6	4.54256882746088905283129	0.220139757477039542869627	0.726717462081088104366889	
plant-lam8-b0.30-s5.0	8	5.0	0.30	7	3.05162721405289551555111	0.327694023501609281324185	0.785130250619495833237397	0.671784474811938255140118
plant-lam8-b0.30-s5.0	8	5.0	0.30	8	2.92316420228125701304195	0.342095048652960812510466	0.776648847422287399246403	0.957903438801417182799564
plant-lam8-b0.30-s5.0	8	5.0	0.30	9	5.36625719580696193477576	0.186349622001228539416877	0.765692445846633521877905	1.83577001648388370052554
plant-lam8-b0.30-s5.0	8	5.0	0.30	10	0.462077639080713135233777	2.16413848112075728059345	0.910712279457189126862985	0.0861079933779110008345172
plant-lam8-b0.30-s5.0	8	5.0	0.30	11	10.6133310921793754082509	0.0942211254237482566195676	0.975477687264367840167346	22.9687182294607814762704
plant-lam8-b0.30-s5.0	8	5.0	0.30	12	31.3272643683083057641225	0.0319210764222245014682232	0.662961109999780002960232	2.95169010522929657667055
plant-lam8-b0.30-s5.0	8	5.0	0.30	13	75.6508138884726921647833	0.0132186284403263399548302	0.066303352849801412923536	2.41485541153741951024237
plant-lam8-b0.30-s5.0	8	5.0	0.30	14	220.669940975430744486766	0.00453165481252083801022361	0.0232302768105508253512783	2.91695395770296359889344
plant-lam8-b0.30-s5.0	8	5.0	0.30	15	374.408600330722582222833	0.00267087881826614041562815	0.00925726482360451076268378	1.69669053553791001157402
plant-lam8-b0.30-s5.0	8	5.0	0.30	16	8124.55162265064349321657	0.000123083715440009592867602	0.0035076599322176184284842	21.6996928368474042657463
plant-lam8-b0.30-s5.0	8	5.0	0.30	17	87.1990980076353063572177	0.0114680085327538392833517	0.00318453171394700215375661	0.0107327889657972914843712
plant-lam8-b0.30-s5.0	8	5.0	0.30	18	256.49068794763114173095	0.00389877701994457787559175	0.00556114470920729582359909	2.94143739795533625894827
plant-lam8-b0.40-s5.0	8	5.0	0.40	6	2.60101249006142863925918	0.384465666282280250518292	0.785449937269256619490598	
plant-lam8-b0.40-s5.0	8	5.0	0.40	7	2.20045677593626518946399	0.454451098942633515601032	0.745697200008665487595151	0.84600008048569445958585
plant-lam8-b0.40-s5.0	8	5.0	0.40	8	2.39134041687087719262899	0.41817551066548798932918	0.745272879466022817963134	1.08674728039290548856724
plant-lam8-b0.40-s5.0	8	5.0	0.40	9	3.8830488094655529862248	0.257529598279151151015024	0.717151214147142869294846	1.62379591883727279212487
plant-lam8-b0.40-s5.0	8	5.0	0.40	10	0.451740636836263022158782	2.21365960566097562261177	0.915055314036664011677488	0.116336584730810726651919
plant-lam8-b0.40-s5.0	8	5.0	0.40	11	9.94415764615321663667057	0.100561559418442901874281	0.977922548397999747070589	22.0129800936141051009273
plant-lam8-b0.40-s5.0	8	5.0	0.40	12	28.135792246075103198395	0.0355419172580611572211574	0.664841958041981325228972	2.82937914373864656269605
plant-lam8-b0.40-s5.0	8	5.0	0.40	13	62.2338169798581569039124	0.0160684343099772890785624	0.0727115692330308088385936	2.21190917375144011256375
